julian_day,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean,temperature_difference,cwsi,t_actual,t_potential
102,5.74,219.45,0.63,8.54,9.27,9.0,29,-26.36,-0.7300000000000004,1,0.001,4.751950835467542
103,4.3,146.92,0.7,9.03,9.22,8.9,29,-25.72,-0.19000000000000128,1,0.001,3.4024666791498674
104,2.94,181.94,0.76,11.46,12.37,8.8,29,-25.41,-0.9099999999999984,1,0.001,4.300580503525644
105,1.88,130.51,0.83,10.87,11.99,9.0,29,-25.28,-1.120000000000001,1,0.001,3.2211957198277905
106,4.38,171.64,0.67,8.42,9.06,9.3,29,-25.22,-0.6400000000000006,1,0.001,3.812703954556255
107,5.44,261.72,0.54,8.6,10.68,9.3,29,-25.08,-2.08,1,0.001,5.541437234909294
108,2.78,221.43,0.6,8.36,11.39,9.3,29,-25.02,-3.030000000000001,1,0.001,4.639847051436696
109,2.6,271.28,0.59,11.91,14.54,9.4,29,-25.02,-2.629999999999999,1,0.001,5.883890009969898
110,1.63,253.53,0.66,13.01,16.18,9.8,29,-25.05,-3.17,1,0.001,5.559012251048765
111,4.8,254.88,0.56,10.89,13.4,10.4,29,-25.15,-2.51,1,0.001,5.668067885781546
112,2.56,247.63,0.48,9.49,12.2,10.7,29,-25.11,-2.709999999999999,1,0.001,5.197088802740169
113,2.64,280.1,0.48,12.53,14.2,10.8,29,-23.35,-1.67,1,0.001,6.119071786971412
114,1.64,278.11,0.6,14.58,16.17,11.0,29,-22.6,-1.5900000000000016,1,0.001,6.1680778063095945
115,1.59,271.95,0.66,17.89,19.25,11.3,29,-23.11,-1.3599999999999994,1,0.001,6.568274578811821
116,1.49,275.9,0.7,18.39,19.43,11.9,29,-23.43,-1.0399999999999991,1,0.001,6.682801802967243
117,2.96,270.54,0.85,19.22,20.8,12.4,28,-23.69,-1.5800000000000018,1,0.001,7.132221990209749
118,3.04,191.57,0.93,12.43,13.67,13.0,28,-24.09,-1.2400000000000002,1,0.001,4.658629028330926
119,2.25,292.28,0.75,11.83,14.17,13.0,28,-24.03,-2.34,1,0.001,6.223250513936729
120,1.96,248.73,0.77,11.59,14.31,12.9,28,-24.09,-2.7200000000000006,1,0.001,5.420961855950723
121,2.04,235.13,0.79,13.23,15.19,12.9,28,-24.28,-1.959999999999999,1,0.001,5.419304251428036
122,1.86,277.06,0.81,15.67,17.66,13.0,28,-24.5,-1.9900000000000002,1,0.001,6.420661285165688
123,1.15,253.23,0.98,17.68,18.78,13.3,28,-24.88,-1.1000000000000014,1,0.001,6.125391219937535
124,1.79,237.13,1.0,19.1,20.33,13.8,28,-25.31,-1.2299999999999969,1,0.001,6.354792027182741
125,1.65,179.16,1.12,18.42,19.24,14.2,28,-25.71,-0.8199999999999967,1,0.001,5.255467688228647
126,1.96,112.8,1.32,17.22,17.03,14.6,28,-26.14,0.18999999999999773,0.8039862634815549,0.25827749488148516,3.93251651372966
127,0.93,243.02,1.51,18.3,19.24,14.7,28,-26.41,-0.9399999999999977,1,0.001,5.984929895144449
128,1.17,237.44,1.49,19.57,19.97,14.9,27,-26.61,-0.3999999999999986,0.9304882781537874,0.001,6.2494520945031224
129,2.78,244.44,1.2,17.09,18.22,15.2,27,-26.99,-1.129999999999999,1,0.001,6.327048054330052
130,2.83,254.69,0.88,13.5,15.35,15.3,27,-27.24,-1.8499999999999996,1,0.001,5.934186390849325
131,2.17,203.84,1.09,14.7,16.12,15.3,27,-27.49,-1.4200000000000017,1,0.001,5.150809953606183
132,1.42,293.23,1.12,19.13,18.94,15.2,27,-27.79,0.18999999999999773,0.719898278004754,0.9483524474046418,7.12595697090426
133,1.29,290.83,1.07,21.9,21.08,15.4,27,-28.27,0.8200000000000003,0.5736125238803995,2.3668184236572145,7.5325874575950165
134,1.02,289.95,1.05,22.34,21.4,15.7,27,-28.96,0.9400000000000013,0.5644651975198914,2.3993636238368823,7.423358854877044
135,0.93,293.07,1.11,23.01,21.95,16.2,27,-29.25,1.0600000000000023,0.5500018917748452,2.569852072228272,7.52372214850917
136,1.83,281.66,1.37,21.32,21.6,16.7,27,-28.2,-0.28000000000000114,0.8874637735026483,0.001,7.543781265224632
137,1.85,292.06,1.25,19.39,20.13,17.0,27,-27.47,-0.7399999999999984,1,0.001,7.338990138773312
138,2.33,128.83,1.41,14.91,15.31,17.1,26,-26.86,-0.40000000000000036,1,0.001,3.8668677265424893
139,1.84,241.37,1.26,17.0,17.13,16.8,27,-25.09,-0.129999999999999,0.8482929115632741,0.001,6.110797167575816
140,1.78,243.2,1.31,18.42,18.47,16.6,27,-24.11,-0.04999999999999716,0.822783296889945,0.1655944964424159,6.372691676451883
141,1.3,294.58,1.19,19.14,18.98,16.6,27,-24.36,0.16000000000000014,0.7283637001228721,0.9013843248268629,7.114344595216474
142,1.23,298.8,1.28,22.29,21.27,16.8,27,-22.89,1.0199999999999996,0.5288346173667717,2.874883794982107,7.7186603964626705
143,1.43,288.32,1.35,22.89,22.0,17.2,27,-22.19,0.8900000000000006,0.5575952912473896,2.6845444224094064,7.809951477526464
144,1.36,294.62,1.3,22.28,21.42,17.6,26,-24.67,0.8599999999999994,0.5624736220910508,2.592402066174502,7.738886410619638
145,1.94,212.25,1.18,18.98,18.81,17.8,26,-26.49,0.1700000000000017,0.7599242373764585,0.6474912401933384,6.0078689307853015
146,1.97,305.64,0.93,16.88,17.37,17.7,26,-26.53,-0.490000000000002,0.929848526530252,0.001,7.161969314709884
147,1.32,305.69,1.02,18.66,18.92,17.4,26,-26.95,-0.26000000000000156,0.8375289059143435,0.001,7.210448297238013
148,2.37,310.12,1.06,19.69,19.53,17.4,25,-27.21,0.16000000000000014,0.7242141318551925,1.0935060939240409,7.841906903472717
149,2.28,244.19,0.85,14.19,14.38,17.5,26,-24.21,-0.19000000000000128,0.8681859366996243,0.001,5.8045704915547685
150,1.11,291.88,0.72,13.51,13.61,17.2,25,-26.25,-0.09999999999999964,0.769538197740165,0.3268498292573618,6.147018561238236
151,2.18,198.9,0.89,14.52,14.7,16.8,25,-27.53,-0.17999999999999972,0.9068820373191758,0.001,5.0563529444254485
152,1.84,314.62,0.78,15.33,15.66,16.6,25,-28.53,-0.33000000000000007,0.8592553010763164,0.001,7.029403405579146
153,1.15,281.31,0.97,18.03,17.99,16.5,25,-28.19,0.0400000000000027,0.7607454751139265,0.5610821667867684,6.661674397872634
154,1.61,244.12,1.11,19.97,19.15,16.7,24,-28.27,0.8200000000000003,0.5327692650781445,2.4693241356233333,6.632983938575653
155,2.88,305.31,0.8,16.17,16.55,17.0,24,-27.82,-0.379999999999999,0.920076804546086,0.001,7.243957574490518
156,1.34,306.39,0.81,16.19,16.1,17.0,24,-25.7,0.08999999999999986,0.7252389716186685,0.8148122090779754,6.845925318218426
157,0.97,259.4,0.95,18.31,17.15,16.9,24,-27.46,1.1600000000000001,0.4640938608392093,2.778116479598435,6.279518446460273
158,1.61,279.63,1.1,20.54,19.68,17.0,24,-28.86,0.8599999999999994,0.5290007315341685,2.7328328946869314,7.298999059992591
159,1.96,270.43,1.05,18.49,18.18,17.3,24,-26.64,0.3099999999999987,0.6789469614114053,1.3402159463595014,6.886941594999482
160,2.61,171.17,0.98,14.09,13.99,17.4,24,-27.81,0.09999999999999964,0.7752147667249811,0.36243117781337403,4.547349322108378
161,3.65,288.8,0.73,13.01,13.31,17.1,23,-29.87,-0.3000000000000007,0.9094714184373945,0.001,6.5887228403081695
162,1.87,328.52,0.68,14.03,14.08,16.6,23,-31.56,-0.05000000000000071,0.7533888563266524,0.5744148697396424,7.080166121983366
163,1.27,257.29,0.79,15.68,15.26,16.5,23,-32.77,0.41999999999999993,0.6366928081883692,1.3789644592044443,5.990637065570458
164,2.48,275.27,0.95,17.6,17.23,16.5,22,-31.92,0.370000000000001,0.6377850060745083,1.6763318601425123,6.924693686926592
165,1.84,322.95,0.91,16.42,16.48,16.6,22,-32.26,-0.05999999999999872,0.7708191821317217,0.5227819082604519,7.342552688756449
166,1.47,308.45,0.99,17.4,17.62,16.7,22,-31.61,-0.22000000000000242,0.8246034268922467,0.0621181676899071,7.136513224689131
167,2.07,201.29,1.22,17.14,17.06,16.9,22,-30.83,0.08000000000000185,0.7915568492415274,0.3913098076391495,5.5259795960719575
168,2.09,289.51,1.23,20.82,20.13,17.1,21,-34.3,0.6900000000000013,0.5635160036267697,2.5960661673562635,7.681669178789989
169,1.45,220.4,1.32,20.77,20.36,17.2,21,-36.48,0.41000000000000014,0.6920558096600653,1.2355387595407374,6.370753496538449
170,0.87,311.6,1.49,22.25,22.4,17.4,21,-31.01,-0.14999999999999858,0.8059336702960448,0.3320742914696177,7.634867169937925
171,0.79,300.29,1.61,23.33,22.44,17.9,22,-25.81,0.889999999999997,0.5976763608074694,2.2390065853323615,7.601757540236579
