julian_day,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean
102,5.74,219.45,0.63,8.54,9.27,9,29,-26.36
103,4.3,146.92,0.7,9.03,9.22,8.9,29,-25.72
104,2.94,181.94,0.76,11.46,12.37,8.8,29,-25.41
105,1.88,130.51,0.83,10.87,11.99,9,29,-25.28
106,4.38,171.64,0.67,8.42,9.06,9.3,29,-25.22
107,5.44,261.72,0.54,8.6,10.68,9.3,29,-25.08
108,2.78,221.43,0.6,8.36,11.39,9.3,29,-25.02
109,2.6,271.28,0.59,11.91,14.54,9.4,29,-25.02
110,1.63,253.53,0.66,13.01,16.18,9.8,29,-25.05
111,4.8,254.88,0.56,10.89,13.4,10.4,29,-25.15
112,2.56,247.63,0.48,9.49,12.2,10.7,29,-25.11
113,2.64,280.1,0.48,12.53,14.2,10.8,29,-23.35
114,1.64,278.11,0.6,14.58,16.17,11,29,-22.6
115,1.59,271.95,0.66,17.89,19.25,11.3,29,-23.11
116,1.49,275.9,0.7,18.39,19.43,11.9,29,-23.43
117,2.96,270.54,0.85,19.22,20.8,12.4,28,-23.69
118,3.04,191.57,0.93,12.43,13.67,13,28,-24.09
119,2.25,292.28,0.75,11.83,14.17,13,28,-24.03
120,1.96,248.73,0.77,11.59,14.31,12.9,28,-24.09
121,2.04,235.13,0.79,13.23,15.19,12.9,28,-24.28
122,1.86,277.06,0.81,15.67,17.66,13,28,-24.5
123,1.15,253.23,0.98,17.68,18.78,13.3,28,-24.88
124,1.79,237.13,1,19.1,20.33,13.8,28,-25.31
125,1.65,179.16,1.12,18.42,19.24,14.2,28,-25.71
126,1.96,112.8,1.32,17.22,17.03,14.6,28,-26.14
127,0.93,243.02,1.51,18.3,19.24,14.7,28,-26.41
128,1.17,237.44,1.49,19.57,19.97,14.9,27,-26.61
129,2.78,244.44,1.2,17.09,18.22,15.2,27,-26.99
130,2.83,254.69,0.88,13.5,15.35,15.3,27,-27.24
131,2.17,203.84,1.09,14.7,16.12,15.3,27,-27.49
132,1.42,293.23,1.12,19.13,18.94,15.2,27,-27.79
133,1.29,290.83,1.07,21.9,21.08,15.4,27,-28.27
134,1.02,289.95,1.05,22.34,21.4,15.7,27,-28.96
135,0.93,293.07,1.11,23.01,21.95,16.2,27,-29.25
136,1.83,281.66,1.37,21.32,21.6,16.7,27,-28.2
137,1.85,292.06,1.25,19.39,20.13,17,27,-27.47
138,2.33,128.83,1.41,14.91,15.31,17.1,26,-26.86
139,1.84,241.37,1.26,17,17.13,16.8,27,-25.09
140,1.78,243.2,1.31,18.42,18.47,16.6,27,-24.11
141,1.3,294.58,1.19,19.14,18.98,16.6,27,-24.36
142,1.23,298.8,1.28,22.29,21.27,16.8,27,-22.89
143,1.43,288.32,1.35,22.89,22,17.2,27,-22.19
144,1.36,294.62,1.3,22.28,21.42,17.6,26,-24.67
145,1.94,212.25,1.18,18.98,18.81,17.8,26,-26.49
146,1.97,305.64,0.93,16.88,17.37,17.7,26,-26.53
147,1.32,305.69,1.02,18.66,18.92,17.4,26,-26.95
148,2.37,310.12,1.06,19.69,19.53,17.4,25,-27.21
149,2.28,244.19,0.85,14.19,14.38,17.5,26,-24.21
150,1.11,291.88,0.72,13.51,13.61,17.2,25,-26.25
151,2.18,198.9,0.89,14.52,14.7,16.8,25,-27.53
