julian_day,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean
102,7.1,463.69,0.6,8.57,10.8,0.29,-26.3,9
103,3.1,216.61,0.66,8.26,10.1,0.29,-25.73,8.9
104,2.66,326.67,0.81,11.36,15.18,0.29,-25.4,8.8
105,1.57,430.29,0.75,11.79,17.85,0.29,-25.26,9
106,5.8,200.49,0.63,7.51,8.63,0.29,-25.2,9.3
107,9.47,546.47,0.48,9.43,13.52,0.29,-25.08,9.3
108,2.58,494.46,0.68,8.04,16.51,0.29,-25,9.3
109,2.61,583.94,0.61,12.4,21.06,0.29,-24.99,9.4
110,1.53,570.47,0.7,13.94,22.67,0.29,-25,9.8
111,6.87,600.71,0.54,11.89,19.3,0.29,-25.14,10.4
112,3.03,460.19,0.52,10.13,17.36,0.29,-25.06,10.7
113,4.23,596.74,0.48,12.87,20.76,0.29,-25.14,10.8
114,2.62,579.09,0.63,14.05,22.11,0.29,-22.6,11
115,1.32,582.81,0.75,17.48,26.02,0.29,-23.1,11.3
116,1.74,588.86,0.7,17.67,25.73,0.29,-23.38,11.9
117,1.65,578.72,0.85,19.32,26.69,0.29,-23.65,12.4
118,4.1,501.87,0.95,13.76,17.2,0.28,-24.09,13
119,1.53,612.06,0.79,13.92,19.28,0.28,-24,13
120,1.76,497.58,0.81,13.04,18.32,0.28,-24.05,12.9
121,3.35,621.43,0.79,15.87,22.04,0.28,-24.25,12.9
122,1.03,598.57,0.89,16.53,22.87,0.28,-24.42,13
123,0.95,589.76,0.96,19.2,24.77,0.28,-24.82,13.3
124,2.02,497.34,1.01,19.2,23.57,0.28,-25.2,13.8
125,1.45,344.03,1.19,18.23,20.73,0.28,-25.64,14.2
126,2.1,348.44,1.28,20.56,22.69,0.28,-26.01,14.6
127,1.05,534.38,1.56,18.88,21.52,0.28,-26.26,14.7
128,0.98,551.48,1.6,19.62,22.88,0.27,-26.48,14.9
129,3.61,345.22,1.32,17.27,18.4,0.27,-26.86,15.2
130,3.54,608.79,0.86,15.75,20.24,0.27,-27.15,15.3
131,3.55,488,0.97,16.08,19.12,0.27,-27.35,15.3
132,0.87,611.1,1.19,19.54,21.03,0.27,-27.62,15.2
133,1.74,607.68,1.2,22.66,24.27,0.27,-28.07,15.4
134,0.95,600.71,1.19,22.35,24.47,0.27,-28.76,15.7
135,0.83,607.93,1.3,23.78,25.36,0.26,-29.48,16.2
136,1.54,628.44,1.48,24.26,26.12,0.26,-29.23,16.7
137,2.16,562.03,1.15,21.21,22.83,0.26,-28.08,17
